视频标题,发布时间,播放量,点赞量,收藏量,弹幕量,评论量,转发量,投币量,视频时长(s),BV号,AV号
《崩坏：星穹铁道》不死途角色PV——「狼来了」,2026-03-20 12:00:00,3710930,231786,45540,12345,13346,28473,71724,440,BV1f4w1zEEt6,116255352688226
《崩坏：星穹铁道》走近星穹——「不死途：我…你…我…哎呦，嗐…！」,2026-03-18 12:00:00,1569920,127302,14713,8975,8760,5372,19888,489,BV112wXzUEUX,116244028132938
《崩坏：星穹铁道》4.1版本「献给破晓的失控」前瞻特别节目,2026-03-13 20:15:00,1897411,91040,16758,10705,8606,2423,18249,2040,BV1mXczzVExc,116215204807040
《崩坏：星穹铁道》4.1版本PV：「献给破晓的失控」,2026-03-13 20:05:00,1797798,95324,14975,4522,7036,4342,22529,645,BV1Smczz2EJa,116215188031182
《崩坏：星穹铁道》火花角色PV——「痴人说梦」,2026-03-02 12:00:00,12897920,620711,235728,43645,44697,86961,333396,506,BV1XGAUzJEZB,116142190430210
我永远无法原谅星穹铁道,2026-02-27 12:00:00,7893554,591472,147263,88231,46421,94109,233889,898,BV1xxfYBDEoG,116134707791653
《崩坏：星穹铁道》走近星穹——「火花：永不放弃你」,2026-02-25 12:00:00,3029854,228703,38891,27019,13368,11285,70181,587,BV19dZ6BJEVY,116101019143233
《崩坏：星穹铁道》爻光角色PV——「万事如意」,2026-02-12 12:00:00,6797299,377897,100250,27864,30908,46667,136840,492,BV1mKcxzMERi,116050502942918
《崩坏：星穹铁道》「齐乐绒绒大冒险」公益短片：星穹下的格桑花,2026-02-11 12:00:00,1879437,343657,75756,38276,32792,18767,293889,573,BV1woFQzKEmY,116045905921711
《崩坏：星穹铁道》走近星穹——「爻光：爻老板发大财呢~」,2026-02-10 12:00:00,1758199,140479,19618,16622,7920,6647,26704,589,BV1LqcTzNEvN,116038356240550
《崩坏：星穹铁道》即兴巡演PV：「吉凶之外」,2026-02-08 12:00:00,3719844,227382,39843,10843,12461,14726,61664,903,BV1LXFazTEU3,116017283992750
《崩坏：星穹铁道》4.0版本「满月是神不在的时间」前瞻特别节目,2026-02-06 20:50:00,2603799,134423,26111,68247,17756,5540,40729,3347,BV1TgFYzREzZ,116017082665571
《崩坏：星穹铁道》4.0版本PV：「满月是神不在的时间」,2026-02-06 20:30:00,3303299,149254,28319,11135,14652,9210,44350,570,BV1KGFYzWEdg,116017065888429
《崩坏：星穹铁道》千星纪游PV：「星际和平倡议：反毁灭同盟」,2026-02-03 12:00:00,6576430,340074,79065,31104,35038,67176,136528,720,BV1iu6MBSEqd,115966147036225
《崩坏：星穹铁道》即兴巡演PV：「一口气看完！铁墓之战后，官方没有说出的真相！」,2026-02-01 12:00:00,9889301,602099,174038,154508,77257,237685,276059,806,BV1i36MBEEPW,115966130259568
《崩坏：星穹铁道》大丽花角色PV——「一曲终了」,2025-12-16 12:00:00,3735173,209510,44824,13620,13492,27576,53163,500,BV1QwmCBoEgz,115722256712369
《崩坏：星穹铁道》走近星穹——「大丽花：你小时候我还抱过你呢」,2025-12-10 12:00:00,1787424,128524,18379,5513,11196,6728,18840,371,BV1pm2QBNEVk,115688349893632
《崩坏：星穹铁道》3.8版本「记忆是梦的开场白」前瞻特别节目,2025-12-05 20:30:00,1929695,90193,14952,11438,14974,3307,14972,1487,BV1Ui42167UW,1456522394
《崩坏：星穹铁道》3.8版本PV：「记忆是梦的开场白」,2025-12-05 20:00:00,2637888,105532,19123,6701,11510,9009,23616,658,BV1EW2vB2Est,115660382276176
《崩坏：星穹铁道》音乐MV——「昔涟」,2025-11-07 12:00:00,5083145,340073,179402,54601,19450,31439,272961,211,BV1XG2FBTEHK,115502240238167
《崩坏：星穹铁道》动画短片：「你好，世界」,2025-11-05 12:00:00,11208415,654850,398434,283370,76055,90086,695963,1018,BV14G1kB5Evp,115490043266137
《崩坏：星穹铁道》走近星穹——「货币战争」特别节目,2025-11-03 12:00:00,1658820,121774,15566,19013,7708,9745,19251,558,BV1kc1uBkE4s,115468216043139
《崩坏：星穹铁道》昔涟角色PV——「再度和你」,2025-11-02 12:00:00,10586900,527264,226810,331755,101934,83786,422394,854,BV1yZ1MB1Eej,115468182684077
《崩坏：星穹铁道》黄金史诗PV：「再见，昔涟」,2025-10-31 12:00:00,4359911,325392,89583,201913,22144,36016,142573,698,BV1yXyaBGEVR,115463031882040
《崩坏：星穹铁道》走近星穹——「昔涟：留待未来的空白诗篇」,2025-10-29 12:00:00,2442982,185917,40439,130694,29374,17351,62821,718,BV1ekyBB5Esg,115450616876261
《崩坏：星穹铁道》千星纪游PV：「故事之外：第8场」,2025-10-28 12:00:00,7621222,378321,111155,180681,53370,103531,174274,1047,BV1xzs1zDEFi,115445348828660
《崩坏：星穹铁道》3.7版本「成为昨日的明天」前瞻特别节目,2025-10-24 20:40:00,2581590,119338,26915,47461,21807,5157,33395,2017,BV1E7sBzQEBY,115422263249617
《崩坏：星穹铁道》3.7版本PV：「成为昨日的明天」,2025-10-24 20:15:00,3630656,163393,38357,47483,15817,12413,61954,830,BV1BJsBznEjo,115422246537376
《崩坏：星穹铁道》丹恒•腾荒角色PV——「归处」,2025-10-10 12:00:00,3021610,232278,63857,85536,19785,23047,110685,588,BV13KxrzDEE4,115341749456857
《崩坏：星穹铁道》走近星穹——「丹恒•腾荒：别想了，不会有《土龙吟》这首歌的！」,2025-10-08 12:00:00,2078797,179023,23802,45637,10629,10550,33317,377,BV1ymxWzZEDz,115313865657431
《崩坏：星穹铁道》千星纪游PV：「翁法罗斯英雄纪」,2025-09-24 18:00:00,4232540,262454,95670,75055,15425,21255,152531,890,BV1R5JyzJE9Y,115252427491599
