版本,情感,排名,高频词,频次,评论数
4.2,负向,15,周年,11,284
4.3,正向,1,联动,76,868
4.3,正向,2,喜欢,73,868
4.3,正向,3,梦碎,69,868
4.3,正向,4,阿刃,57,868
4.3,正向,5,大哥,55,868
4.3,正向,6,孩子,52,868
4.3,正向,7,大王,46,868
4.3,正向,8,舒服,44,868
4.3,正向,9,姬子,43,868
4.3,正向,10,刀点,40,868
4.3,正向,11,铁牛,37,868
4.3,正向,12,金闪闪,36,868
4.3,正向,13,喜悦,36,868
4.3,正向,14,角色,34,868
4.3,正向,15,fate,33,868
4.3,负向,1,姬子,38,268
4.3,负向,2,联动,26,268
4.3,负向,3,版本,21,268
4.3,负向,4,加强,16,268
4.3,负向,5,角色,16,268
4.3,负向,6,前瞻,10,268
4.3,负向,7,fate,9,268
4.3,负向,8,眼睛,9,268
4.3,负向,9,离开,9,268
4.3,负向,10,乐园,9,268
4.3,负向,11,剧情,9,268
4.3,负向,12,这次,8,268
4.3,负向,13,欢愉,8,268
4.3,负向,14,大王,8,268
4.3,负向,15,老大,8,268
